version,issue
1fce8606-ee90-412d-abb1-f824bfdf0306,Missing phelps code (not fixed)
2006db21-4fde-4635-8fdd-e5dd6060e157,Missing phelps code (not fixed)
2009e8e3-bad9-48aa-93f8-7ca4c0263589,Missing phelps code (not fixed)
200d5db7-f0dd-487e-8f21-8470b40c63cd,Missing phelps code (not fixed)
206f4dbc-607b-4ca8-a725-09750902d0f1,Missing phelps code (not fixed)
20f05283-e2a8-4ee1-a495-cf95bbddc0b1,Missing phelps code (not fixed)
20fcff58-7e1c-462c-8adf-7b6736291d43,Missing phelps code (not fixed)
21117b08-63f9-4d46-9122-be601ac1fc67,Missing phelps code (not fixed)
21310f51-dd7a-4f74-81ba-4363fdad8dbd,Missing phelps code (not fixed)
21a98541-cc7e-4505-aad0-080a514d9c5f,Missing phelps code (not fixed)
21ae0fc0-ddff-400f-ba61-9744e9f5f0cb,Missing phelps code (not fixed)
21bdd810-87aa-4bf5-b658-47a1f438d353,Missing phelps code (not fixed)
21d03513-1d5a-4f82-a32b-cc0b80f7c747,Missing phelps code (not fixed)
21d2ca83-2fe5-46ff-bc25-aa06534a51a0,Missing phelps code (not fixed)
223e6fc8-f358-4def-bafe-35c13cab3fb7,Missing phelps code (not fixed)
22516ae5-4f7e-4c84-a988-be3eb338a12e,Missing phelps code (not fixed)
226bc751-5a58-4ec9-b9ab-9fde28e737f4,Missing phelps code (not fixed)
22f177f8-7f60-44d1-b609-4ba172684bf9,Missing phelps code (not fixed)
2311be1c-88cd-40de-a41e-c78a7dea4528,Missing phelps code (not fixed)
231a0214-9af3-42ec-9093-86b13ef2f658,Missing phelps code (not fixed)
231b005c-3245-45b4-8866-98322219ca6c,Missing phelps code (not fixed)
2336aed0-c1c4-45fa-ac24-6b331cbeedd2,Missing phelps code (not fixed)
233de3ec-ee0c-4c3f-8674-579e2b8a0c3e,Missing phelps code (not fixed)
234037bb-dc2b-45c2-8747-6974532d2ecc,Duplicate language el for phelps BH07180 with different content
23453d79-3ed1-48b9-bff9-ccc77eac3a63,Missing phelps code (not fixed)
234a534d-b0c1-4e13-a34d-122bf8930bda,Missing phelps code (not fixed)
236e9dd9-d20f-45f3-a3ad-bb1f27a6a82b,Missing phelps code (not fixed)
23b4b1d6-efc5-482c-946e-03e38f79e0b7,Missing phelps code (not fixed)
23c819f8-3b2b-42e6-a96e-373393ccb9d0,Missing phelps code (not fixed)
23cdf8d8-4a7c-473c-93a3-71f6fbb34a22,Missing phelps code (not fixed)
23e23671-939b-4c9e-89b2-ceb01e9754cd,Missing phelps code (not fixed)
23f4bf9f-9aa9-4b21-9302-9fbb9ee3eccd,Missing phelps code (not fixed)
23fc41aa-601c-4800-9337-4d1b607ba64e,Missing phelps code (not fixed)
23fc518a-bdfe-410f-ad75-2c222c45cb72,Missing phelps code (not fixed)
244325fb-0bc3-4866-b577-b69f70b5143c,Missing phelps code (not fixed)
246feb3a-d825-4e89-89b0-b2ad5461e06d,Missing phelps code (not fixed)
2490e2b0-83fe-4e12-b640-e535080b10f7,Missing phelps code (not fixed)
24b0662c-ab9d-406d-a2fc-531884e44683,Missing phelps code (not fixed)
24cb3efb-fc1b-4592-b249-743be1be07cc,Missing phelps code (not fixed)
